,Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD
324,US,NJ,5,366400
325,US,NJ,6,319200
326,US,NJ,7,787600
327,US,NJ,8,630400
328,US,NJ,9,484800
329,US,NM,1,305100
330,US,NM,2,554700
331,US,NM,3,218600
332,US,NV,1,2238700
333,US,NV,2,1332700
334,US,NV,3,1996100
335,US,NV,4,1047100
336,US,NY,1,376100
337,US,NY,10,554100
338,US,NY,11,493300
339,US,NY,12,599000
340,US,NY,13,341900
341,US,NY,14,337900
342,US,NY,15,341700
343,US,NY,16,287200
344,US,NY,17,286900
345,US,NY,18,278400
346,US,NY,19,621000
347,US,NY,2,230600
348,US,NY,20,329000
349,US,NY,21,216400
350,US,NY,22,572700
351,US,NY,23,252000
352,US,NY,24,350400
353,US,NY,25,246100
354,US,NY,26,258300
355,US,NY,27,161200
356,US,NY,3,312900
357,US,NY,4,298000
358,US,NY,5,251200
359,US,NY,6,231000
360,US,NY,7,504300
361,US,NY,8,159600
362,US,NY,9,239900
363,US,OH,1,669700
364,US,OH,10,276200
365,US,OH,11,345100
366,US,OH,12,601600
367,US,OH,13,250700
368,US,OH,14,336400
369,US,OH,15,601800
370,US,OH,16,285800
371,US,OH,2,414900
372,US,OH,3,449400
373,US,OH,4,318300
374,US,OH,5,262500
375,US,OH,6,213200
376,US,OH,7,279700
377,US,OH,8,237500
378,US,OH,9,227100
379,US,OK,1,426600
380,US,OK,2,224200
381,US,OK,3,213400
382,US,OK,4,272100
383,US,OK,5,546100
384,US,OR,1,294600
385,US,OR,2,410500
386,US,OR,3,384800
387,US,OR,4,256100
388,US,OR,5,308200
389,US,PA,1,762100
390,US,PA,10,370000
391,US,PA,11,280400
392,US,PA,12,307300
393,US,PA,13,243700
394,US,PA,14,257000
395,US,PA,15,189500
396,US,PA,16,303700
397,US,PA,17,308000
398,US,PA,18,543900
399,US,PA,2,338600
400,US,PA,3,458500
401,US,PA,4,463500
402,US,PA,5,403400
403,US,PA,6,480800
404,US,PA,7,336100
405,US,PA,8,327300
406,US,PA,9,242700
407,US,RI,1,190600
408,US,RI,2,165000
409,US,SC,1,653300
410,US,SC,2,625600
411,US,SC,3,341500
412,US,SC,4,511600
413,US,SC,5,639700
414,US,SC,6,473500
415,US,SC,7,620500
416,US,SD,0,269200
417,US,TN,1,668200
418,US,TN,2,753900
419,US,TN,3,658600
420,US,TN,4,728100
421,US,TN,5,1665600
422,US,TN,6,673300
423,US,TN,7,642900
424,US,TN,8,512400
425,US,TN,9,1030900
426,US,TX,1,242100
427,US,TX,10,509800
428,US,TX,11,233100
429,US,TX,12,313700
430,US,TX,13,217400
431,US,TX,14,246100
432,US,TX,15,248200
433,US,TX,16,332000
434,US,TX,17,247100
435,US,TX,18,989300
436,US,TX,19,218800
437,US,TX,2,361100
438,US,TX,20,268100
439,US,TX,21,476600
440,US,TX,22,474000
441,US,TX,23,480500
442,US,TX,24,544500
443,US,TX,25,610300
444,US,TX,26,337600
445,US,TX,27,567500
446,US,TX,28,360100
447,US,TX,29,244100
448,US,TX,3,430500
449,US,TX,30,820400
450,US,TX,31,450300
451,US,TX,32,993100
452,US,TX,33,286000
453,US,TX,34,198100
454,US,TX,35,222000
455,US,TX,36,288200
456,US,TX,4,436600
457,US,TX,5,415400
458,US,TX,6,404500
459,US,TX,7,700900
460,US,TX,8,366000
461,US,TX,9,320900
462,US,UT,1,288400
463,US,UT,2,644600
464,US,UT,3,255300
465,US,UT,4,362000
466,US,VA,1,391800
467,US,VA,10,999500
468,US,VA,11,714200
469,US,VA,2,886800
470,US,VA,3,337700
471,US,VA,4,560000
472,US,VA,5,457100
473,US,VA,6,337700
474,US,VA,7,610700
475,US,VA,8,920100
476,US,VA,9,272700
477,US,VT,0,384900
478,US,WA,1,487000
479,US,WA,10,422300
480,US,WA,2,352800
481,US,WA,3,430600
482,US,WA,4,277100
483,US,WA,5,463000
484,US,WA,6,403300
485,US,WA,7,659500
486,US,WA,8,659300
487,US,WA,9,594600
488,US,WI,1,544400
489,US,WI,2,614700
490,US,WI,3,430900
491,US,WI,4,539900
492,US,WI,5,442600
493,US,WI,6,494000
494,US,WI,7,364400
495,US,WI,8,459500
496,US,WV,1,380400
497,US,WV,2,447000
498,US,WV,3,382300
499,US,WY,0,203500
