,Advertiser_ID,Advertiser_Name,Date_Range_Start,Date_Range_End,Num_of_Days,Impressions,Spend_USD
262732,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2018-12-18,2019-01-02,9,≤ 10k,≤ 100
262733,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-09-16,2019-12-16,40,≤ 10k,≤ 100
262734,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2018-08-05,2019-04-09,70,≤ 10k,≤ 100
262735,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-23,2019-06-30,21,≤ 10k,≤ 100
262739,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-09-16,2019-11-30,54,≤ 10k,100-1k
262740,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-06-14,2019-07-04,7,≤ 10k,≤ 100
262742,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2018-10-31,2019-03-17,109,≤ 10k,≤ 100
262744,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-09-26,2019-10-10,9,≤ 10k,≤ 100
262745,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-15,2020-02-20,114,≤ 10k,≤ 100
262746,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-15,2020-01-06,70,≤ 10k,≤ 100
262747,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-25,2019-06-11,14,≤ 10k,≤ 100
262751,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-06-26,2019-07-14,4,≤ 10k,≤ 100
262753,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-08-22,2019-12-05,48,≤ 10k,≤ 100
262757,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-09-26,2019-10-08,10,≤ 10k,≤ 100
262760,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-08-22,2019-09-04,14,≤ 10k,≤ 100
262763,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-11-01,2020-02-23,69,≤ 10k,≤ 100
262765,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-09-27,2019-10-08,12,≤ 10k,≤ 100
262770,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-21,2019-06-30,4,≤ 10k,≤ 100
262771,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-15,2020-02-03,68,≤ 10k,≤ 100
262773,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-10-28,2020-02-22,103,≤ 10k,≤ 100
262774,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-06-14,2019-07-15,27,≤ 10k,≤ 100
262775,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-06-02,2019-07-10,23,≤ 10k,≤ 100
262776,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-08-23,2020-01-05,56,≤ 10k,≤ 100
262781,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-08-23,2019-11-19,70,≤ 10k,≤ 100
262783,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-09-17,2019-09-25,6,≤ 10k,≤ 100
262785,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-15,2019-11-27,132,10k-100k,≤ 100
262789,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2018-08-03,2019-04-24,137,≤ 10k,≤ 100
262791,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-10-24,2019-10-30,7,10k-100k,100-1k
262792,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-16,2019-07-23,8,≤ 10k,≤ 100
262793,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-12-30,2020-01-04,4,≤ 10k,≤ 100
262796,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-06-03,2019-06-29,8,≤ 10k,≤ 100
262802,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-10-01,2020-02-24,55,≤ 10k,≤ 100
262803,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-22,2019-11-29,128,10k-100k,≤ 100
262805,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-11,2019-07-02,12,≤ 10k,≤ 100
262808,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-09-16,2019-10-11,20,≤ 10k,≤ 100
262810,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-09-26,2019-10-08,11,≤ 10k,≤ 100
262812,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-04-15,2019-04-30,10,1M-10M,1k-50k
262813,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2018-07-18,2019-04-06,133,100k-1M,1k-50k
262814,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-24,2020-01-06,20,≤ 10k,≤ 100
262815,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-10-04,2019-10-07,2,≤ 10k,≤ 100
262818,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-06-03,2019-06-30,12,≤ 10k,≤ 100
262820,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-19,2020-02-22,76,≤ 10k,≤ 100
262822,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-08-08,2020-01-05,108,≤ 10k,≤ 100
262824,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-31,2019-06-06,7,≤ 10k,≤ 100
262826,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2018-10-03,2019-04-22,141,10k-100k,100-1k
262830,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-03-08,2019-03-24,14,≤ 10k,≤ 100
262832,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-30,2019-06-02,3,≤ 10k,≤ 100
262833,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-08-24,2019-08-28,5,≤ 10k,≤ 100
262835,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-08-26,2019-08-28,2,≤ 10k,≤ 100
262836,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-08-09,2019-10-06,20,≤ 10k,≤ 100
262839,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-09-27,2020-01-06,73,≤ 10k,≤ 100
262840,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-08-22,2019-09-01,10,≤ 10k,≤ 100
262841,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-10-09,2019-11-28,15,≤ 10k,≤ 100
262844,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-24,2020-02-24,207,> 10M,1k-50k
262847,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-20,2019-10-06,8,≤ 10k,≤ 100
262848,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-09-25,2020-01-03,36,≤ 10k,≤ 100
262851,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-02-26,2019-03-13,16,100k-1M,≤ 100
262852,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-09-13,2019-11-28,28,10k-100k,100-1k
262853,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-08-10,2020-02-12,64,≤ 10k,≤ 100
262854,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-08-08,2019-10-08,37,≤ 10k,≤ 100
262855,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-23,2019-07-07,28,10k-100k,100-1k
262856,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-10-31,2020-02-24,110,100k-1M,1k-50k
262857,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-08-30,2020-01-06,41,≤ 10k,≤ 100
262858,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-09-30,2019-10-06,2,≤ 10k,≤ 100
262859,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2018-07-24,2019-03-05,19,≤ 10k,≤ 100
262867,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-09-06,2019-11-29,84,≤ 10k,≤ 100
262871,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-09-18,2020-01-06,80,≤ 10k,≤ 100
262872,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-10,2019-07-03,32,≤ 10k,≤ 100
262874,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-03-08,2019-03-16,3,≤ 10k,≤ 100
262875,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-10-28,2019-11-28,28,≤ 10k,≤ 100
262878,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-10-30,2020-02-24,67,≤ 10k,≤ 100
262883,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2018-10-31,2019-05-08,149,≤ 10k,≤ 100
262884,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-30,2020-02-22,86,≤ 10k,≤ 100
262886,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-13,2019-05-18,6,≤ 10k,≤ 100
262893,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-16,2020-01-21,57,≤ 10k,≤ 100
262896,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2018-10-03,2019-04-24,102,≤ 10k,≤ 100
262897,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-10-01,2020-02-05,115,100k-1M,1k-50k
262898,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-09-08,2019-10-06,9,≤ 10k,≤ 100
262901,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-15,2020-01-19,159,≤ 10k,≤ 100
262904,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-09-29,2019-10-07,6,≤ 10k,≤ 100
262905,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-24,2020-02-23,132,≤ 10k,≤ 100
262906,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-15,2020-02-12,192,10k-100k,100-1k
262908,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-16,2019-08-02,11,≤ 10k,≤ 100
262912,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-15,2020-02-12,107,≤ 10k,≤ 100
262913,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-06-14,2019-07-05,19,≤ 10k,≤ 100
262915,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2018-10-31,2019-04-24,96,≤ 10k,≤ 100
262918,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-25,2019-11-29,79,≤ 10k,≤ 100
262919,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-03-12,2019-05-11,41,10k-100k,100-1k
262920,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-01-03,2019-05-09,102,100k-1M,1k-50k
262922,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-12-31,2020-01-13,8,≤ 10k,≤ 100
262923,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-15,2020-01-20,63,≤ 10k,≤ 100
262924,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-02-27,2019-03-15,16,≤ 10k,≤ 100
262927,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-09-27,2019-10-10,12,≤ 10k,≤ 100
262929,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-15,2019-11-25,130,1M-10M,100-1k
262930,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-08-08,2019-10-05,5,≤ 10k,≤ 100
262932,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2018-08-03,2019-05-06,100,≤ 10k,≤ 100
262933,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-09-16,2019-10-11,21,≤ 10k,≤ 100
262940,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-10-28,2019-12-20,35,≤ 10k,≤ 100
262941,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2018-08-03,2019-04-08,141,≤ 10k,≤ 100
262942,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-15,2019-12-22,64,≤ 10k,≤ 100
262943,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-23,2019-07-07,19,≤ 10k,≤ 100
262944,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-09-26,2019-10-07,3,≤ 10k,≤ 100
262945,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-08-08,2020-01-18,121,≤ 10k,≤ 100
262949,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-09-17,2019-10-07,12,≤ 10k,≤ 100
262953,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-10-11,2020-01-06,79,10k-100k,≤ 100
262955,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-09-14,2020-02-24,68,≤ 10k,≤ 100
262959,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-15,2019-08-02,16,≤ 10k,≤ 100
262960,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-08-21,2019-09-15,26,≤ 10k,≤ 100
262962,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-10-30,2019-12-30,26,≤ 10k,≤ 100
262963,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2018-06-01,2019-05-04,152,10k-100k,100-1k
262964,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-31,2019-11-28,120,10k-100k,≤ 100
262965,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-08-12,2019-10-09,15,≤ 10k,≤ 100
262966,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-22,2019-06-15,3,≤ 10k,≤ 100
262968,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-09-16,2020-01-02,78,≤ 10k,≤ 100
262969,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-08-23,2020-02-11,108,≤ 10k,≤ 100
262970,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-23,2019-06-05,13,≤ 10k,≤ 100
262973,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-11-07,2020-01-06,59,10k-100k,100-1k
262977,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-15,2020-01-06,122,10k-100k,≤ 100
262978,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-06-17,2019-07-04,8,≤ 10k,≤ 100
262979,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-09-15,2019-09-15,1,≤ 10k,≤ 100
262980,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2018-07-24,2019-02-12,16,≤ 10k,≤ 100
262984,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-25,2019-06-07,8,≤ 10k,≤ 100
262986,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-08-30,2020-01-06,72,≤ 10k,≤ 100
262990,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-10-09,2020-01-06,82,≤ 10k,≤ 100
262991,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2018-07-25,2019-03-15,63,10k-100k,100-1k
262992,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-09-04,2019-09-09,5,≤ 10k,≤ 100
262993,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-10-11,2020-01-06,86,1M-10M,1k-50k
262994,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-24,2019-06-09,14,≤ 10k,≤ 100
262996,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-11-07,2020-02-24,70,≤ 10k,≤ 100
262997,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-21,2019-07-15,56,10k-100k,100-1k
262998,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-15,2020-01-21,82,≤ 10k,≤ 100
263001,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-09-16,2019-11-30,55,≤ 10k,100-1k
263007,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2018-10-31,2019-04-24,105,10k-100k,≤ 100
263008,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-10-11,2020-01-06,87,100k-1M,100-1k
263009,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2018-10-03,2019-03-15,117,≤ 10k,≤ 100
263012,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-08-22,2020-01-01,82,≤ 10k,≤ 100
263013,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-10-12,2019-11-30,24,10k-100k,100-1k
263014,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-15,2019-11-19,39,≤ 10k,≤ 100
263016,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-08-08,2020-01-03,93,≤ 10k,≤ 100
263017,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-24,2019-07-14,14,≤ 10k,≤ 100
263018,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-09-16,2020-01-06,57,≤ 10k,≤ 100
263019,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-08-21,2019-09-14,24,≤ 10k,≤ 100
263020,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-10-01,2019-10-09,2,≤ 10k,≤ 100
263021,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-09-16,2019-10-15,23,≤ 10k,≤ 100
263022,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-08-30,2020-01-06,95,≤ 10k,≤ 100
263023,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-09-16,2020-01-06,101,≤ 10k,≤ 100
263028,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-10-28,2020-01-05,46,≤ 10k,≤ 100
263029,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-17,2019-10-05,6,≤ 10k,≤ 100
263030,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-03-12,2019-05-11,41,100k-1M,100-1k
263031,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2018-07-25,2019-04-22,55,10k-100k,100-1k
263033,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-09-26,2019-10-08,5,≤ 10k,≤ 100
263035,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-08-01,2020-02-12,73,≤ 10k,≤ 100
263037,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-08-29,2020-02-11,125,≤ 10k,≤ 100
263039,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-02-26,2019-03-04,7,≤ 10k,≤ 100
263040,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-06-03,2019-06-29,2,≤ 10k,≤ 100
263041,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2018-10-03,2019-02-25,111,≤ 10k,≤ 100
263042,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-10-29,2020-01-06,67,1M-10M,1k-50k
263043,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-09-06,2019-11-29,80,≤ 10k,≤ 100
263045,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-27,2019-06-13,13,≤ 10k,≤ 100
263046,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-06-07,2019-06-19,7,≤ 10k,≤ 100
263048,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-09-04,2019-09-10,6,≤ 10k,≤ 100
263053,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-15,2020-01-06,169,10k-100k,1k-50k
263054,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-11-14,2020-01-06,52,10k-100k,100-1k
263055,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-11-08,2019-11-27,14,≤ 10k,≤ 100
263057,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-09-29,2019-11-30,39,≤ 10k,≤ 100
263058,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2018-08-03,2019-04-24,161,10k-100k,100-1k
263059,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-09-05,2019-09-19,6,≤ 10k,≤ 100
263060,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-15,2020-01-05,124,10k-100k,100-1k
263062,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2018-07-24,2019-01-16,8,≤ 10k,≤ 100
263064,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2020-02-07,2020-02-13,7,≤ 10k,≤ 100
263066,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-12-06,2020-01-05,24,≤ 10k,≤ 100
263068,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2018-10-04,2019-04-23,106,10k-100k,100-1k
263070,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-12-04,2020-01-05,24,≤ 10k,≤ 100
263071,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-10-01,2019-10-07,7,≤ 10k,≤ 100
263077,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-06-18,2019-06-27,10,≤ 10k,≤ 100
263078,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-15,2019-08-02,14,≤ 10k,≤ 100
263080,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-08-25,2019-09-01,2,≤ 10k,≤ 100
263084,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-24,2019-11-30,94,≤ 10k,≤ 100
263086,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-04-09,2019-05-13,35,≤ 10k,≤ 100
263088,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-08-21,2019-09-15,22,≤ 10k,≤ 100
263092,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2018-10-31,2019-05-08,97,≤ 10k,≤ 100
263094,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-08-10,2020-02-11,112,≤ 10k,≤ 100
263104,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-06-02,2019-07-15,31,10k-100k,≤ 100
263106,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-15,2019-10-09,79,10k-100k,100-1k
263107,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2018-10-31,2019-05-09,157,10k-100k,100-1k
263108,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2018-10-03,2019-04-22,142,10k-100k,100-1k
263110,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-08-01,2019-08-02,2,≤ 10k,≤ 100
263113,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2018-06-12,2019-04-02,82,10k-100k,100-1k
263114,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2018-10-31,2019-05-09,137,10k-100k,≤ 100
263118,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-24,2019-06-06,13,≤ 10k,≤ 100
263119,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-25,2019-06-05,6,≤ 10k,≤ 100
263122,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-08-24,2020-02-24,95,10k-100k,100-1k
263123,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-15,2019-11-30,117,10k-100k,≤ 100
263124,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-06-25,2019-06-29,3,≤ 10k,≤ 100
263125,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-03-08,2019-03-22,12,≤ 10k,≤ 100
263127,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-10-11,2020-02-24,119,10k-100k,100-1k
263130,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-06-05,2019-07-15,28,≤ 10k,≤ 100
263132,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-06-14,2019-07-15,23,10k-100k,100-1k
263139,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-24,2019-07-01,31,≤ 10k,≤ 100
263140,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-21,2019-06-29,11,≤ 10k,≤ 100
263141,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-15,2020-01-06,83,≤ 10k,≤ 100
263142,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-21,2019-06-04,3,≤ 10k,≤ 100
263143,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-23,2019-07-13,32,≤ 10k,≤ 100
263144,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-31,2019-06-09,10,≤ 10k,≤ 100
263145,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-11-07,2019-11-26,11,≤ 10k,≤ 100
263149,AR488306308034854912,"DONALD J. TRUMP FOR PRESIDENT, INC.",2018-12-19,2018-12-25,5,≤ 10k,≤ 100
