,Advertiser_ID,Advertiser_Name,Date_Range_Start,Date_Range_End,Num_of_Days,Impressions,Spend_USD
9526,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-04-15,2019-05-06,22,≤ 10k,≤ 100
9527,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-30,2019-07-31,2,≤ 10k,≤ 100
9528,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-03-12,2019-04-11,29,10k-100k,≤ 100
9529,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-06-23,2019-06-25,3,10k-100k,100-1k
9530,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-02-15,2019-02-19,5,1M-10M,1k-50k
9531,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-03-13,2019-03-24,11,100k-1M,100-1k
9532,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2020-01-09,2020-01-19,11,≤ 10k,≤ 100
9533,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-03-04,2019-03-14,11,≤ 10k,≤ 100
9534,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-03-11,2019-04-11,29,≤ 10k,≤ 100
9535,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-04-12,2019-04-30,19,100k-1M,100-1k
9538,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-09-13,2019-09-27,14,≤ 10k,≤ 100
9539,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-04-12,2019-05-09,14,≤ 10k,≤ 100
9542,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-02-04,2019-03-11,14,10k-100k,≤ 100
9543,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-06-25,2019-06-25,1,≤ 10k,≤ 100
9544,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-28,2019-06-10,10,≤ 10k,≤ 100
9546,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-03-25,2019-04-15,22,≤ 10k,≤ 100
9547,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-03-06,2019-05-10,29,10k-100k,1k-50k
9549,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-02-25,2019-03-08,10,10k-100k,100-1k
9550,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-03-04,2019-05-10,67,≤ 10k,100-1k
9552,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2020-01-29,2020-01-31,3,100k-1M,1k-50k
9553,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-04-23,2019-05-09,17,10k-100k,100-1k
9555,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-30,2019-09-04,19,10k-100k,≤ 100
9557,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-04-12,2019-04-30,19,1M-10M,1k-50k
9558,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-02-25,2019-03-08,10,≤ 10k,≤ 100
9559,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-06-11,2019-06-11,1,≤ 10k,≤ 100
9561,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-12-22,2019-12-30,8,100k-1M,1k-50k
9562,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-06-13,2019-07-14,16,≤ 10k,≤ 100
9563,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-28,2019-06-06,5,≤ 10k,≤ 100
9565,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-10,2019-07-11,2,≤ 10k,≤ 100
9567,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-04-12,2019-05-09,18,10k-100k,100-1k
9570,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-15,2020-02-24,225,10k-100k,1k-50k
9571,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-16,2019-12-24,145,≤ 10k,1k-50k
9572,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-02-25,2019-03-07,9,≤ 10k,≤ 100
9574,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-03-06,2019-05-06,37,≤ 10k,≤ 100
9576,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-06-23,2019-06-23,1,≤ 10k,≤ 100
9578,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-30,2019-08-11,11,10k-100k,100-1k
9580,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-02-08,2019-03-11,31,10k-100k,100-1k
9581,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-13,2019-07-09,27,≤ 10k,≤ 100
9585,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-04-29,2019-05-09,11,100k-1M,100-1k
9586,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-15,2020-01-24,193,10k-100k,1k-50k
9588,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-14,2019-05-15,2,≤ 10k,≤ 100
9590,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-15,2020-02-24,211,10k-100k,1k-50k
9592,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-04-03,2019-05-10,38,10k-100k,1k-50k
9593,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-30,2019-09-04,19,10k-100k,1k-50k
9594,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2020-01-22,2020-02-20,27,≤ 10k,100-1k
9597,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-06-24,2019-06-24,1,≤ 10k,≤ 100
9598,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-02-12,2019-03-08,23,≤ 10k,≤ 100
9600,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-03-26,2019-03-27,2,≤ 10k,≤ 100
9601,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-04-15,2019-05-10,26,10k-100k,1k-50k
9603,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-02-19,2019-03-11,20,≤ 10k,≤ 100
9604,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-03-04,2019-05-10,67,10k-100k,100-1k
9606,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-10,2019-07-15,65,10k-100k,1k-50k
9611,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2018-08-28,2018-08-28,1,10k-100k,≤ 100
